# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
2	"M5as."	"Mas."	"Mason"	via-variant	"115 M5as. 374"
2	"M5et."	"Met."	"Met."	canonical	"11 M5et. 331"
2	"M5is."	"Mis."	"Miss."	via-variant	"4 M5is. 259"
2	"M5o. App."	"Mo. App."	"Mo. App."	canonical	"9 M5o. App. 5"
2	"M5od."	"Mod."	"Mod"	via-variant	"7 M5od. 4"
2	"M5ood. C. C."	"Mood. C. C."	"Mood"	via-variant	"1 M5ood. C. C. 27"
2	"M5yl. & C."	"Myl. & C."	"My & Cr"	via-variant	"1 M5yl. & C. 8"
2	"M6d."	"Md."	"Md."	canonical	"1 M6d. 69"
2	"Ma3ss."	"Mass."	"Mass."	canonical	"17 Ma3ss. 581"
2	"Ma5ss."	"Mass."	"Mass."	canonical	"147 Ma5ss. 5"
2	"Mo. Ap1p."	"Mo. App."	"Mo. App."	canonical	"29 Mo. Ap1p. 125"
2	"P1ae."	"Pae."	"P."	via-variant	"46 P1ae. 10"
2	"P1ar."	"Par."	"P."	via-variant	"3 P1ar. 1"
2	"P1et."	"Pet."	"Pet."	canonical	"13 P1et. 359"
2	"P1i. St."	"Pi. St."	"Pa."	via-variant	"44 P1i. St. 519"
2	"P1ick."	"Pick."	"Pick."	canonical	"19 P1ick. 330"
2	"Pen1n. St."	"Penn. St."	"Pa."	via-variant	"131 Pen1n. St. 509"
2	"S. W5V."	"S. WV."	"S.W."	via-variant	"88 S. W5V. 83"
2	"S1upp."	"Supp."	"N.Y.S."	via-variant	"18 S1upp. 22"
2	"Sup. Ct. R1ep."	"Sup. Ct. Rep."	"S. Ct."	via-variant	"22 Sup. Ct. R1ep. 238"
2	"T1ex."	"Tex."	"Tex."	canonical	"8 T1ex. 5"
2	"V1I."	"VI."	"Vt."	via-variant	"442 V1I. 44"
2	"W1all."	"Wall."	"Wall."	canonical	"3 W1all. 97"
2	"Wa1sh."	"Wash."	"Wash."	canonical	"53 Wa1sh. 168"
2	"Wi1s."	"Wis."	"Wis."	canonical	"2 Wi1s. 13"
2	"l1arb."	"larb."	"Barb."	via-variant	"10 l1arb. 4"
2	"l1l."	"ll."	"Ill."	via-variant	"12 l1l. 273"
2	"l3inn."	"linn."	"Minn."	via-variant	"30 l3inn. 18"
2	"ln3d."	"lnd."	"Ind."	via-variant	"126 ln3d. 3"
1	"(Con1n."	"(Conn."	"Conn."	via-variant	"72 (Con1n. 211"
1	"A1ass."	"Aass."	"Mass."	via-variant	"52 A1ass. 9"
1	"A1b."	"Ab."	"Abb. Pr."	via-variant	"14 A1b. 457"
1	"A1lb. L. J."	"Alb. L. J."	"Alb. L.J."	via-variant	"32 A1lb. L. J., 379"
